epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,1768.61,0.71376,0.5285,0.9176,0.35015,0.35294,0.32675,0.22388,1.25915,1.73629,1.18059,0.000594125,0.000594125,0.000594125
55,1796.92,0.64928,0.50309,0.85564,0.34971,0.35294,0.31864,0.21722,1.18078,1.68706,1.13634,0.00058175,0.00058175,0.00058175
56,1825.84,0.66602,0.50625,0.91682,0.3491,0.35294,0.3153,0.22007,1.20494,1.77042,1.1537,0.000569375,0.000569375,0.000569375
57,1854.78,0.68556,0.49006,0.89575,0.3491,0.35294,0.3153,0.22007,1.20494,1.77042,1.1537,0.000557,0.000557,0.000557
58,1884.49,0.63426,0.46638,0.86673,0.34308,0.35294,0.30877,0.21464,1.18599,1.83052,1.12577,0.000544625,0.000544625,0.000544625
59,1914.97,0.63333,0.48486,0.8937,0.34552,0.35294,0.29692,0.20899,1.16596,1.85918,1.13423,0.00053225,0.00053225,0.00053225
60,1945.11,0.62057,0.43895,0.89709,0.34896,0.35294,0.28745,0.19744,1.21184,1.78811,1.19658,0.000519875,0.000519875,0.000519875
61,1974.95,0.59661,0.45728,0.88226,0.34896,0.35294,0.28745,0.19744,1.21184,1.78811,1.19658,0.0005075,0.0005075,0.0005075
62,2007.8,0.63196,0.47565,0.90502,0.39195,0.35294,0.30316,0.20442,1.15962,1.70271,1.1728,0.000495125,0.000495125,0.000495125
63,2039.36,0.58771,0.4473,0.88301,0.37432,0.35054,0.30378,0.20653,1.15952,1.83023,1.16861,0.00048275,0.00048275,0.00048275
64,2070.84,0.62667,0.48474,0.90328,0.3638,0.32353,0.30817,0.19927,1.27148,1.8752,1.21284,0.000470375,0.000470375,0.000470375
65,2101.2,0.60876,0.44125,0.87968,0.3638,0.32353,0.30817,0.19927,1.27148,1.8752,1.21284,0.000458,0.000458,0.000458
66,2131.91,0.653,0.47101,0.87994,0.30737,0.32353,0.29861,0.19457,1.29022,1.86579,1.20943,0.000445625,0.000445625,0.000445625
67,2161.83,0.62456,0.45796,0.85329,0.28483,0.32353,0.28861,0.19564,1.28409,1.9166,1.2036,0.00043325,0.00043325,0.00043325
